depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;139943050;12.4;50.46932346;5.390842141;11/06/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139663000;28.9;50.00447194;5.044290447;25/08/2018;0;Cropland;Oats;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;140043010;34.1;50.1160249;5.565194023;18/07/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;140062984;43.8;49.88381214;5.614559013;16/06/2018;0;Cropland;Oats;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139203112;11.8;50.97821547;4.283638818;22/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138083120;15.1;50.96020162;2.684402816;03/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139443068;13.1;50.6002423;4.669911796;10/09/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138203100;10.6;50.79204988;2.882021404;20/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139483050;26.1;50.44150265;4.744357741;24/08/2018;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138263134;18.7;51.10125048;2.920427071;10/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139523056;11.7;50.49785126;4.794602199;25/05/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138523136;13.2;51.14115618;3.287710519;18/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139003046;11;50.37276841;4.075062251;19/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139803036;12.7;50.33568639;5.206778358;20/06/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153182398;19.8;43.94336697;22.45506229;06/10/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153302384;23.4;43.80104964;22.57513336;29/08/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153322422;7.3;44.1352748;22.67471278;01/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153622366;48.4;43.59237295;22.93121975;09/10/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153942344;16.8;43.34703022;23.27675357;29/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153482412;19.2;44.02205167;22.85182319;12/07/2018;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154062392;19.3;43.75305355;23.52240586;12/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
